ranking,title,location
71,Leiden University,Netherlands
72,Erasmus University Rotterdam,Netherlands
73,University of Montreal,Canada
74,University of Zurich,Switzerland
75,Charité - Universitätsmedizin Berlin,Germany
76,Utrecht University,Netherlands
77,University of Warwick,United Kingdom
78,Delft University of Technology,Netherlands
79,University of Tübingen,Germany
80,University of Groningen,Netherlands
81,Humboldt University of Berlin,Germany
82,Ohio State University (Main campus),United States
83,University of Freiburg,Germany
84,University of Copenhagen,Denmark
85,Emory University,United States
86,University of Minnesota,United States
87,École Polytechnique,France
88,University of Science and Technology of China,China
89,Sorbonne University,France
90,"University of Maryland, College Park",United States
91,University of Bristol,United Kingdom
92,University of Basel,Switzerland
93,University of Glasgow,United Kingdom
94,Purdue University West Lafayette,United States
95,Zhejiang University,China
96,Korea Advanced Institute of Science and Technology (KAIST),South Korea
97,National Taiwan University (NTU),Taiwan
98,"University of California, Irvine",United States
99,University of Helsinki,Finland
100,Shanghai Jiao Tong University,China
101,Dartmouth College,United States
102,Sungkyunkwan University (SKKU),South Korea
103,Ghent University,Belgium
104,Lund University,Sweden
105,Michigan State University,United States
106,Aarhus University,Denmark
107,University of Birmingham,United Kingdom
108,RWTH Aachen University,Germany
109,University of Bern,Switzerland
110,Queen Mary University of London,United Kingdom
111,Nanjing University,China
112,Uppsala University,Sweden
113,Vanderbilt University,United States
114,University of Bonn,Germany
115,Penn State (Main campus),United States
116,Vrije Universiteit Amsterdam,Netherlands
117,University of Virginia (Main campus),United States
118,University of Adelaide,Australia
119,Free University of Berlin,Germany
120,Georgetown University,United States
121,Case Western Reserve University,United States
122,Maastricht University,Netherlands
123,University of Sheffield,United Kingdom
124,University of Arizona,United States
125,Rice University,United States
126,City University of Hong Kong,Hong Kong
127,University of Oslo,Norway
128,University of Southampton,United Kingdom
129,Hong Kong Polytechnic University,Hong Kong
130,University of Göttingen,Germany
131,University of Alberta,Canada
132,University of Colorado Boulder,United States
133,University of Pittsburgh-Pittsburgh campus,United States
134,University of York,United Kingdom
135,University of Hamburg,Germany
136,Lancaster University,United Kingdom
137,University of Paris,France
138,Radboud University Nijmegen,Netherlands
139,The University of Western Australia,Australia
140,Indiana University,United States
141,University of Mannheim,Germany
142,Technical University of Berlin,Germany
143,Ulm University,Germany
144,University of Würzburg,Germany
145,University of Cologne,Germany
146,University of Ottawa,Canada
147,University of Auckland,New Zealand
148,University of Rochester,United States
149,Durham University,United Kingdom
150,University of Geneva,Switzerland
151,Pohang University of Science and Technology (POSTECH),South Korea
152,University of Florida,United States
153,Pompeu Fabra University,Spain
154,TU Dresden,Germany
155,University of Cape Town,South Africa
156,Trinity College Dublin,Ireland
157,Tufts University,United States
158,Bielefeld University,Germany
159,University of Nottingham,United Kingdom
160,University of Leeds,United Kingdom
161,University of Sussex,United Kingdom
162,University of Technology Sydney,Australia
163,University of Liverpool,United Kingdom
164,Université Catholique de Louvain,Belgium
165,University of Vienna,Austria
166,"Rutgers, the State University of New Jersey",United States
167,University of Bologna,Italy
168,Korea University,South Korea
169,University of Alabama at Birmingham,United States
170,University of Antwerp,Belgium
171,University of Leicester,United Kingdom
172,University of Notre Dame,United States
173,Sant’Anna School of Advanced Studies – Pisa,Italy
174,University of Exeter,United Kingdom
175,Lomonosov Moscow State University,Russian Federation
176,Northeastern University,United States
177,Ulsan National Institute of Science and Technology (UNIST),South Korea
178,University of Aberdeen,United Kingdom
179,Newcastle University,United Kingdom
180,Paris-Saclay University,France
181,Scuola Normale Superiore di Pisa,Italy
182,Autonomous University of Barcelona,Spain
183,Stockholm University,Sweden
184,Arizona State University (Tempe),United States
185,University of Canberra,Australia
186,Queensland University of Technology,Australia
187,Eindhoven University of Technology,Netherlands
188,George Washington University,United States
189,Technical University of Denmark,Denmark
190,Yonsei University (Seoul campus),South Korea
191,Cardiff University,United Kingdom
192,University of Gothenburg,Sweden
193,University of Lausanne,Switzerland
194,Tel Aviv University,Israel
195,Macquarie University,Australia
196,University of Münster,Germany
197,Texas A&M University,United States
198,University of Barcelona,Spain
199,University of Erlangen-Nuremberg,Germany
200,University of Calgary,Canada
201,University of East Anglia,United Kingdom
202,Queen’s University Belfast,United Kingdom
203,Aalborg University,Denmark
204,Aalto University,Finland
205,University of Bath,United Kingdom
206,University of Bergen,Norway
207,Brandeis University,United States
208,"University of California, Santa Cruz",United States
209,Chalmers University of Technology,Sweden
210,Copenhagen Business School,Denmark
211,Curtin University,Australia
212,University of Duisburg-Essen,Germany
213,University of Dundee,United Kingdom
214,Griffith University,Australia
215,University of Hawai’i at Mānoa,United States
216,Hebrew University of Jerusalem,Israel
217,University of Hohenheim,Germany
218,Howard University,United States
219,University of Iowa,United States
220,James Cook University,Australia
221,Karlsruhe Institute of Technology,Germany
222,King Abdulaziz University,Saudi Arabia
223,KTH Royal Institute of Technology,Sweden
224,La Trobe University,Australia
225,Université Libre de Bruxelles,Belgium
226,University of Luxembourg,Luxembourg
227,University of Massachusetts,United States
228,Medical University of Graz,Austria
229,Medical University of Innsbruck,Austria
230,Medical University of Vienna,Austria
231,University of Miami,United States
232,Moscow Institute of Physics and Technology (MIPT),Russian Federation
233,University of Otago,New Zealand
234,RCSI University of Medicine and Health Sciences,Ireland
235,University of Reading,United Kingdom
236,"St George’s, University of London",United Kingdom
237,University of São Paulo,Brazil
238,Sapienza University of Rome,Italy
239,University of South Florida (Tampa),United States
240,University of St Andrews,United Kingdom
241,Télécom Paris,France
242,Tilburg University,Netherlands
243,Tohoku University,Japan
244,University of Twente,Netherlands
245,University of Utah,United States
246,Virginia Polytechnic Institute and State University,United States
247,University of Waterloo,Canada
248,Western University,Canada
249,University of the Witwatersrand,South Africa
250,University of Wollongong,Australia
251,Alfaisal University,Saudi Arabia
252,Auckland University of Technology,New Zealand
253,Australian Catholic University,Australia
254,Brighton and Sussex Medical School,United Kingdom
255,University at Buffalo,United States
256,"University of California, Riverside",United States
257,University of Cincinnati,United States
258,Dalhousie University,Canada
259,Deakin University,Australia
260,École des Ponts ParisTech,France
261,École Normale Supérieure de Lyon,France
262,Flinders University,Australia
263,Florida State University,United States
264,Friedrich Schiller University Jena,Germany
265,George Mason University,United States
266,Goethe University Frankfurt,Germany
267,HSE University,Russian Federation
268,University of Illinois at Chicago,United States
269,Jacobs University,Germany
270,University of Kiel,Germany
271,University of Konstanz,Germany
272,Kyung Hee University,South Korea
273,Université Laval,Canada
274,Macau University of Science and Technology,Macao
275,University of Navarra,Spain
276,University of Newcastle,Australia
277,University of New Mexico (Main campus),United States
278,Nova Southeastern University,United States
279,Oregon Health and Science University,United States
280,University of Padua,Italy
281,University of Potsdam,Germany
282,Queen’s University,Canada
283,Ruhr University Bochum,Germany
284,Simon Fraser University,Canada
285,University of Southern Denmark,Denmark
286,Southern University of Science and Technology (SUSTech),China
287,State University of New York Albany,United States
288,Stellenbosch University,South Africa
289,Sun Yat-sen University,China
290,University of Surrey,United Kingdom
291,Swansea University,United Kingdom
292,University of Tartu,Estonia
293,Università della Svizzera Italiana,Switzerland
294,University College Dublin,Ireland
295,Vita-Salute San Raffaele University,Italy
296,Vrije Universiteit Brussel,Belgium
297,Wake Forest University,United States
298,Western Sydney University,Australia
299,William & Mary,United States
300,American University of Beirut,Lebanon
301,Anglia Ruskin University ARU,United Kingdom
302,Autonomous University of Madrid,Spain
303,Beijing Normal University,China
304,Boston College,United States
305,"University of California, Merced",United States
306,University of Colorado Denver,United States
307,Cyprus University of Technology,Cyprus
308,University of Delaware,United States
309,University of Essex,United Kingdom
310,University of Greifswald,Germany
311,Huazhong University of Science and Technology,China
312,Illinois Institute of Technology,United States
313,Indian Institute of Science,India
314,Johannes Gutenberg University of Mainz,Germany
315,University of Kent,United Kingdom
316,University of Klagenfurt,Austria
317,Kurdistan University of Medical Sciences,Iran
318,University of Macau,Macao
319,University of Malaya,Malaysia
320,University of Marburg,Germany
321,Montpellier University,France
322,"National University of Ireland, Galway",Ireland
323,North Carolina State University,United States
324,University of Oregon,United States
325,University of Oulu,Finland
326,University of Passau,Germany
327,Peter the Great St Petersburg Polytechnic University,Russian Federation
328,Qatar University,Qatar
329,Reykjavík University,Iceland
330,RMIT University,Australia
331,"Royal Holloway, University of London",United Kingdom
332,Rush University,United States
333,Sejong University,South Korea
334,University of South Australia,Australia
335,University of Stirling,United Kingdom
336,Stony Brook University,United States
337,Syracuse University,United States
338,Taipei Medical University,Taiwan
339,Tampere University,Finland
340,Technical University of Darmstadt,Germany
341,Temple University,United States
342,The University of Tennessee-Knoxville,United States
343,University of Texas at Dallas,United States
344,Tokyo Institute of Technology,Japan
345,University of Trento,Italy
346,Tulane University,United States
347,United Arab Emirates University,United Arab Emirates
348,University College Cork,Ireland
349,Washington State University,United States
350,Wuhan University,China
351,Aix-Marseille University,France
352,Babol Noshirvani University of Technology,Iran
353,University of Bayreuth,Germany
354,"Birkbeck, University of London",United Kingdom
355,Universiti Brunei Darussalam,Brunei Darussalam
356,Brunel University London,United Kingdom
357,Catholic University of Portugal,Portugal
358,Central South University,China
359,"City, University of London",United Kingdom
360,University of Crete,Greece
361,Drexel University,United States
362,East China Normal University,China
363,University of Fribourg,Switzerland
364,Grenoble Alpes University,France
365,Hanyang University,South Korea
366,Hasselt University,Belgium
367,Heriot-Watt University,United Kingdom
368,Hong Kong Baptist University,Hong Kong
369,IMT Atlantique,France
370,Indian Institute of Technology Ropar,India
371,University of Innsbruck,Austria
372,University of Kansas,United States
373,Khalifa University,United Arab Emirates
374,University of KwaZulu-Natal,South Africa
375,Lappeenranta-Lahti University of Technology LUT,Finland
376,University of Liège,Belgium
377,Loughborough University,United Kingdom
378,University of Manitoba,Canada
379,University of Milan,Italy
380,University of Milan-Bicocca,Italy
381,Nagoya University,Japan
382,Nankai University,China
383,National Tsing Hua University,Taiwan
384,Northumbria University,United Kingdom
385,NOVA University of Lisbon,Portugal
386,"University of Occupational and Environmental Health, Japan",Japan
387,Örebro University,Sweden
388,Osaka University,Japan
389,Polytechnic University of Milan,Italy
390,University of Stuttgart,Germany
391,Swedish University of Agricultural Sciences,Sweden
392,Swinburne University of Technology,Australia
393,University of Tasmania,Australia
394,University of Turku,Finland
395,UiT The Arctic University of Norway,Norway
396,Umeå University,Sweden
397,Université de Versailles Saint-Quentin-en-Yvelines,France
398,Victoria University,Australia
399,University of Victoria,Canada
400,Wayne State University,United States
401,Aberystwyth University,United Kingdom
402,University of Alaska Fairbanks,United States
403,American University,United States
404,Aston University,United Kingdom
405,Aswan University,Egypt
406,Bangor University,United Kingdom
407,University of Bari Aldo Moro,Italy
408,Bauman Moscow State Technical University,Russian Federation
409,University of Bordeaux,France
410,Bournemouth University,United Kingdom
411,University of Bremen,Germany
412,University of Brescia,Italy
413,University of Campinas,Brazil
414,Cankaya University,Turkey
415,University of Canterbury,New Zealand
416,Centrale Nantes,France
417,CEU Universities,Spain
418,Charles University in Prague,Czech Republic
419,"China Medical University, Taiwan",Taiwan
420,Clark University,United States
421,Colorado School of Mines,United States
422,"Colorado State University, Fort Collins",United States
423,University of Connecticut,United States
424,University of Denver,United States
425,University of Desarrollo,Chile
426,Diego Portales University,Chile
427,Durban University of Technology,South Africa
428,University of Eastern Finland,Finland
429,Edith Cowan University,Australia
430,Federal University of Toulouse Midi-Pyrénées,France
431,University of Florence,Italy
432,Florida International University,United States
433,Free University of Bozen-Bolzano,Italy
434,University of Genoa,Italy
435,University of Georgia,United States
436,Georgia State University,United States
437,"Goldsmiths, University of London",United Kingdom
438,Harbin Institute of Technology,China
439,Hunan University,China
440,University of Ibadan,Nigeria
441,University of Iceland,Iceland
442,Indian Institute of Technology Indore,India
443,Iowa State University,United States
444,Jordan University of Science and Technology,Jordan
445,Justus Liebig University Giessen,Germany
446,University of Jyväskylä,Finland
447,University of Kentucky,United States
448,King Saud University,Saudi Arabia
449,Koç University,Turkey
450,Kyushu University,Japan
451,Linköping University,Sweden
452,L’institut Agro,France
453,Liverpool John Moores University,United Kingdom
454,Makerere University,Uganda
455,Mansoura University,Egypt
456,Maynooth University,Ireland
457,Middlesex University,United Kingdom
458,Missouri University of Science and Technology,United States
459,Mizzou - University of Missouri,United States
460,University of Modena and Reggio Emilia,Italy
461,University of Naples Federico II,Italy
462,National and Kapodistrian University of Athens,Greece
463,National Research Nuclear University MEPhI,Russian Federation
464,National Yang-Ming University,Taiwan
465,University of Nebraska-Lincoln,United States
466,University of Neuchâtel,Switzerland
467,Norwegian University of Science and Technology,Norway
468,Oklahoma State University,United States
469,Oregon State University,United States
470,University of Pavia,Italy
471,University of Peradeniya,Sri Lanka
472,University of the Philippines,Philippines
473,University of Pisa,Italy
474,University of Plymouth,United Kingdom
475,Polytechnic University of Bari,Italy
476,Pontifical Javeriana University,Colombia
477,University of Porto,Portugal
478,University of Rome II – Tor Vergata,Italy
479,Royal Veterinary College,United Kingdom
480,University of St Gallen,Switzerland
481,Saint-Petersburg Mining University ,Russian Federation
482,University of Salerno,Italy
483,University of Sannio,Italy
484,University of Saskatchewan,Canada
485,Semmelweis University,Hungary
486,Sharif University of Technology,Iran
487,Shenzhen University,China
488,University of Siena,Italy
489,University of South Carolina-Columbia,United States
490,South China University of Technology,China
491,SRUC (Scotland’s Rural College),United Kingdom
492,University of Strathclyde,United Kingdom
493,Technion Israel Institute of Technology,Israel
494,Tianjin University,China
495,Tokyo Medical and Dental University (TMDU),Japan
496,Tongji University,China
497,University of Tsukuba,Japan
498,TU Dortmund University,Germany
499,The University of Tulsa,United States
500,University of Turin,Italy
501,TU Wien,Austria
502,University of Valencia,Spain
503,Verona University,Italy
504,University of the West of England,United Kingdom
505,Xi’an Jiaotong University,China
506,York University,Canada
507,Abdul Wali Khan University Mardan,Pakistan
508,Amirkabir University of Technology,Iran
509,University of L’Aquila,Italy
510,Universidad Autónoma de Chile,Chile
511,Bar-Ilan University,Israel
512,Beihang University,China
513,Beijing University of Chemical Technology,China
514,Beijing Institute of Technology,China
515,"Binghamton University, State University of New York",United States
516,Bond University,Australia
517,Carleton University,Canada
518,University of Catania,Italy
519,CentraleSupélec,France
520,Charles Darwin University,Australia
521,Claude Bernard University Lyon 1,France
522,Complutense University of Madrid,Spain
523,University of Costa Rica,Costa Rica
524,University of Côte d’Azur,France
525,University of Cyprus,Cyprus
526,Dublin City University,Ireland
527,University of Electronic Science and Technology of China,China
528,Ferhat Abbas Sétif University 1,Algeria
529,University of Ferrara,Italy
530,Fujita Health University,Japan
531,Graz University of Technology,Austria
532,University of Guelph,Canada
533,Gwangju Institute of Science and Technology,South Korea
534,Hacettepe University,Turkey
535,Hofstra University,United States
536,Hokkaido University,Japan
537,University of Houston,United States
538,University of Hull,United Kingdom
539,University of Insubria,Italy
540,Iran University of Medical Sciences,Iran
541,Iran University of Science and Technology,Iran
542,ITMO University,Russian Federation
543,Jagiellonian University,Poland
544,University of Kashan,Iran
545,Keele University,United Kingdom
546,King Fahd University of Petroleum and Minerals,Saudi Arabia
547,King Khalid University,Saudi Arabia
548,Lagos State University,Nigeria
549,Leibniz University Hannover,Germany
550,University of Limerick,Ireland
551,University of Lincoln,United Kingdom
552,University of Lisbon,Portugal
553,Louisiana State University,United States
554,Lviv Polytechnic National University,Ukraine
555,Mashhad University of Medical Sciences,Iran
556,Memorial University of Newfoundland,Canada
557,University of Messina,Italy
558,University of Montana,United States
559,Murdoch University,Australia
560,National Cheng Kung University (NCKU),Taiwan
561,National Chiao Tung University,Taiwan
562,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan
563,University of Nebraska Medical Center,United States
564,New Jersey Institute of Technology,United States
565,Northern Arizona University,United States
566,North-West University,South Africa
567,Northwestern Polytechnical University,China
568,Universidad Peruana Cayetano Heredia,Peru
569,Polytechnic University of Turin,Italy
570,Pontifical Catholic University of Chile,Chile
571,University of Portsmouth,United Kingdom
572,Quaid-i-Azam University,Pakistan
573,Renmin University of China,China
574,Rensselaer Polytechnic Institute,United States
575,Sabancı University,Turkey
576,University of Sassari,Italy
577,Sciences Po,France
578,SOAS University of London,United Kingdom
579,Soochow University,China
580,Southeast University,China
581,University of Southern Queensland,Australia
582,Southwestern University of Finance and Economics,China
583,Stevens Institute of Technology,United States
584,University of Strasbourg,France
585,Suez Canal University,Egypt
586,Sumy State University,Ukraine
587,University of Tehran,Iran
588,Tehran University of Medical Sciences,Iran
589,Teikyo University,Japan
590,Télécom SudParis,France
591,The University of Texas at San Antonio,United States
592,Tomsk State University,Russian Federation
593,University of Trieste,Italy
594,Universiti Tunku Abdul Rahman (UTAR),Malaysia
595,University of Tuscia,Italy
596,University of Urbino Carlo Bo,Italy
597,Victoria University of Wellington,New Zealand
598,University of Waikato,New Zealand
599,The University of the West Indies,Jamaica
600,University of the West of Scotland,United Kingdom
601,Xiamen University,China
602,Zhejiang Normal University,China
603,Åbo Akademi University,Finland
604,The University of Aizu,Japan
605,Ajou University,South Korea
606,University of Alabama,United States
607,University of Alabama in Huntsville,United States
608,Al-Balqa Applied University,Jordan
609,Amedeo Avogadro University of Eastern Piedmont,Italy
610,University of Antofagasta,Chile
611,Aristotle University of Thessaloniki,Greece
612,University of Arkansas,United States
613,Athens University of Economics and Business,Greece
614,Auburn University,United States
615,University of Aveiro,Portugal
616,University of the Balearic Islands,Spain
617,Banaras Hindu University,India
618,University of Beira Interior,Portugal
619,University of Belgrade,Serbia
620,University of Bergamo,Italy
621,Bilkent University,Turkey
622,Birmingham City University,United Kingdom
623,Boğaziçi University,Turkey
624,Université Bourgogne Franche-Comté (UBFC),France
625,University of Bradford,United Kingdom
626,University of Brighton,United Kingdom
627,Bucharest University of Economic Studies,Romania
628,Ca’ Foscari University of Venice,Italy
629,Cairo University,Egypt
630,University of Calabria,Italy
631,University of Central Florida,United States
632,Chapman University,United States
633,Institute of Chemical Technology,India
634,China Agricultural University,China
635,"China University of Petroleum, Beijing",China
636,Chongqing University,China
637,Chulalongkorn University,Thailand
638,Chung-Ang University,South Korea
639,Clemson University,United States
640,University of Clermont Auvergne,France
641,University of Coimbra,Portugal
642,COMSATS University Islamabad,Pakistan
643,Concordia University,Canada
644,Coventry University,United Kingdom
645,Creighton University,United States
646,Dalian University of Technology,China
647,University of Delhi,India
648,De Montfort University,United Kingdom
649,University of Deusto,Spain
650,École des Mines de Saint-Étienne,France
651,École normale supérieure Paris-Saclay,France
652,Edinburgh Napier University,United Kingdom
653,Eötvös Loránd University,Hungary
654,European University of Madrid,Spain
655,Ewha Womans University,South Korea
656,Federal University of Minas Gerais,Brazil
657,Federal University of Rio Grande do Sul,Brazil
658,Federal University of Santa Catarina,Brazil
659,Federal University of São Paulo (UNIFESP),Brazil
660,Federal University of Sergipe (UFS),Brazil
661,Gabriele d‘Annunzio University,Italy
662,University of Girona,Spain
663,Glasgow Caledonian University,United Kingdom
664,University of Granada,Spain
665,University of Graz,Austria
666,University of Greenwich,United Kingdom
667,Guangdong University of Technology,China
668,University of Haifa,Israel
669,Hamburg University of Technology,Germany
670,Huazhong Agricultural University,China
671,University of Huddersfield,United Kingdom
672,University of Idaho,United States
673,IDC Herzliya,Israel
674,"Indian Institute of Science Education and Research, Pune",India
675,Indian Institute of Science Education and Research Kolkata,India
676,Indian Institute of Technology Gandhinagar,India
677,Indian Institute of Technology Hyderabad,India
678,Indraprastha Institute of Information Technology Delhi,India
679,Universitat Internacional de Catalunya,Spain
680,University of International Business and Economics,China
681,University of Ioannina,Greece
682,ISCTE-University Institute of Lisbon,Portugal
683,Isfahan University of Technology,Iran
684,Jamia Millia Islamia,India
685,Jaume I University,Spain
686,Jawaharlal Nehru University,India
687,Jiangsu Normal University,China
688,Jikei University School of Medicine,Japan
689,Jinan University,China
690,University of Johannesburg,South Africa
691,Johannes Kepler University of Linz,Austria
692,Kafrelsheikh University,Egypt
693,University of Kaiserslautern,Germany
694,Kansai Medical University,Japan
695,Kansas State University,United States
696,Kazan Federal University,Russian Federation
697,Universiti Kebangsaan Malaysia,Malaysia
698,Keio University,Japan
699,King George‘s Medical University,India
700,Kobe University,Japan
701,Konkuk University,South Korea
702,University of Kurdistan,Iran
703,University of Lagos,Nigeria
704,Lakehead University,Canada
705,University of La Laguna,Spain
706,University of Latvia,Latvia
707,Lehigh University,United States
708,University of Lille,France
709,Lincoln University,New Zealand
710,University of Lleida,Spain
711,University of Lorraine,France
712,Mae Fah Luang University,Thailand
713,Mahatma Gandhi University,India
714,Mahidol University,Thailand
715,University of Malta,Malta
716,Manchester Metropolitan University,United Kingdom
717,Marche Polytechnic University,Italy
718,"University of Maryland, Baltimore County",United States
719,Masaryk University,Czech Republic
720,Massey University,New Zealand
721,Metropolitan Autonomous University,Mexico
722,Miguel Hernández University of Elche ,Spain
723,University of Missouri-St Louis,United States
724,University of Mohaghegh Ardabili,Iran
725,Montana State University,United States
726,Monterrey Institute of Technology,Mexico
727,University of Nairobi,Kenya
728,Nanjing Agricultural University,China
729,Nanjing University of Information Science and Technology,China
730,Nanjing Medical University,China
731,Nanjing Tech University,China
732,University of Nantes,France
733,National Institute of Applied Sciences of Lyon (INSA Lyon),France
734,National University of Science and Technology (MISiS),Russian Federation
735,National Taiwan Normal University,Taiwan
736,National Technical University of Athens,Greece
737,"University of Nevada, Las Vegas",United States
738,New Mexico State University (Main campus),United States
739,Nippon Medical School,Japan
740,University of North Carolina at Greensboro,United States
741,Norwegian University of Life Sciences,Norway
742,Nottingham Trent University,United Kingdom
743,Novosibirsk State University,Russian Federation
744,Ohio University (Main campus),United States
745,The Open University,United Kingdom
746,Open University of Catalonia,Spain
747,Oxford Brookes University,United Kingdom
748,Ozyegin University,Turkey
749,Palacký University Olomouc,Czech Republic
750,University of Palermo,Italy
751,Panjab University,India
752,Panthéon-Sorbonne University – Paris 1,France
753,University of Parma,Italy
754,Parthenope University of Naples,Italy
755,University of Pécs,Hungary
756,Polytechnic University of Catalonia,Spain
757,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil
758,University of Pretoria,South Africa
759,Universiti Putra Malaysia,Malaysia
760,Université du Québec,Canada
761,University of Rennes 1,France
762,University of Rhode Island,United States
763,University of Rome III,Italy
764,Roskilde University,Denmark
765,University of Rovira i Virgili,Spain
766,Ryerson University,Canada
767,Universiti Sains Malaysia,Malaysia
768,Saint Petersburg State University,Russian Federation
769,University of Salento,Italy
770,San Diego State University,United States
771,Savitribai Phule Pune University,India
772,Shahid Beheshti University,Iran
773,Shahid Beheshti University of Medical Sciences,Iran
774,Shandong University,China
775,University of Sharjah,United Arab Emirates
776,Shiraz University of Technology,Iran
777,Sichuan University,China
778,University of Siegen,Germany
779,Southern Cross University,Australia
780,Southern Medical University,China
781,University of the Sunshine Coast,Australia
782,University of Tabriz,Iran
783,Tabriz University of Medical Sciences,Iran
784,Universiti Teknologi Malaysia,Malaysia
785,Universiti Teknologi Petronas,Malaysia
786,University of Texas at Arlington,United States
787,Texas Tech University,United States
788,Thapar University,India
789,University of Thessaly,Greece
790,University of Toledo,United States
791,TU Braunschweig,Germany
792,University of Udine,Italy
793,University of Ulsan,South Korea
794,Ulster University,United Kingdom
795,Universiti Utara Malaysia,Malaysia
796,University of the Western Cape,South Africa
797,Western Washington University,United States
798,University of Windsor,Canada
799,University of Wisconsin-Milwaukee,United States
800,Worcester Polytechnic Institute,United States
801,University of Wuppertal,Germany
802,Xi‘an Jiaotong-Liverpool University,China
803,Yasouj University,Iran
804,Yokohama City University,Japan
805,University of the Aegean,Greece
806,"University of Agriculture, Faisalabad",Pakistan
807,University of Alcalá,Spain
808,University of Algarve,Portugal
809,Aligarh Muslim University,India
810,American University in Cairo,Egypt
811,American University of Sharjah,United Arab Emirates
812,Amrita Vishwa Vidyapeetham,India
813,"University of the Andes, Colombia",Colombia
814,"Asia University, Taiwan",Taiwan
815,Azarbaijan Shahid Madani University,Iran
816,University of the Basque Country,Spain
817,Baylor University,United States
818,University of Bedfordshire,United Kingdom
819,Beijing Jiaotong University,China
820,Benha University,Egypt
821,Beni-Suef University,Egypt
822,Bharathiar University,India
823,Bowling Green State University,United States
824,University of Brasília,Brazil
825,Capital Medical University,China
826,Cardiff Metropolitan University,United Kingdom
827,Carlos III University of Madrid,Spain
828,University of Central Lancashire,United Kingdom
829,Central Queensland University,Australia
830,University of Cergy-Pontoise,France
831,Chang Gung University,Taiwan
832,Charles Sturt University,Australia
833,Chiba University,Japan
834,University of Chile,Chile
835,"China University of Geosciences, Beijing",China
836,"China University of Geosciences, Wuhan",China
837,China University of Mining and Technology,China
838,Chonnam National University,South Korea
839,University of Córdoba,Spain
840,Covenant University,Nigeria
841,University of Debrecen,Hungary
842,Delhi Technological University,India
843,University of Derby,United Kingdom
844,East China University of Science and Technology,China
845,Eastern Mediterranean University,Northern Cyprus
846,University of East London,United Kingdom
847,École Centrale de Lyon,France
848,Federal University of Pelotas,Brazil
849,Federal University of Rio de Janeiro,Brazil
850,Federation University Australia,Australia
851,Florida Agricultural and Mechanical University,United States
852,Florida Atlantic University,United States
853,Florida Institute of Technology,United States
854,University of Foggia,Italy
855,Fu Jen Catholic University,Taiwan
856,Fuzhou University,China
857,Government College University Faisalabad,Pakistan
858,Guru Jambheshwar University of Science and Technology,India
859,University of Hertfordshire,United Kingdom
860,Hiroshima University,Japan
861,Hyogo College of Medicine,Japan
862,Ilmenau University of Technology,Germany
863,Imam Abdulrahman Bin Faisal University,Saudi Arabia
864,Indian Institute of Technology Bhubaneswar,India
865,Indian Institute of Technology (Indian School of Mines) Dhanbad,India
866,Indian Institute of Science Education and Research Bhopal,India
867,University of Indonesia,Indonesia
868,Inha University,South Korea
869,Isfahan University of Medical Sciences,Iran
870,Istanbul University,Turkey
871,Istanbul Technical University,Turkey
872,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania
